Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,244.2,4.874e-06,4.641904761904762e-06
0.0015,279.4,6.772e-06,6.449523809523809e-06
0.002,311.2,8.466e-06,8.062857142857142e-06
0.0025,340.3,1e-05,9.523809523809525e-06
0.003,367.2,1.141e-05,1.0866666666666664e-05
0.004,411.8,1.398e-05,1.3314285714285711e-05
0.005,452.4,1.63e-05,1.552380952380952e-05
0.006,489.7,1.842e-05,1.754285714285714e-05
0.007,524.1,2.039e-05,1.941904761904762e-05
0.008,555.3,2.224e-05,2.118095238095238e-05
0.009,584.3,2.4e-05,2.285714285714285e-05
0.01,611.4,2.567e-05,2.4447619047619045e-05
0.0125,665.5,2.958e-05,2.817142857142857e-05
0.015,711.3,3.321e-05,3.162857142857143e-05
0.0175,751.2,3.663e-05,3.4885714285714285e-05
0.02,786.5,3.988e-05,3.798095238095238e-05
0.0225,817.8,4.3e-05,4.095238095238095e-05
0.025,845.4,4.6e-05,4.3809523809523805e-05
0.0275,869.8,4.892e-05,4.659047619047619e-05
0.03,891.5,5.175e-05,4.928571428571428e-05
0.035,928.9,5.724e-05,5.451428571428571e-05
0.04,960.1,6.254e-05,5.9561904761904754e-05
0.045,985.3,6.767e-05,6.444761904761903e-05
0.05,1005.0,7.27e-05,6.923809523809525e-05
0.055,1019.0,7.764e-05,7.394285714285713e-05
0.06,1029.0,8.252e-05,7.859047619047619e-05
0.065,1035.0,8.736e-05,8.32e-05
0.07,1038.0,9.219e-05,8.779999999999999e-05
0.075,1038.0,9.7e-05,9.238095238095236e-05
0.08,1035.0,0.0001018,9.695238095238094e-05
0.085,1031.0,0.0001067,0.000101619047619
0.09,1025.0,0.0001115,0.0001061904761904
0.095,1018.0,0.0001164,0.0001108571428571
0.1,1009.0,0.0001214,0.000115619047619
0.125,954.7,0.0001468,0.0001398095238095
0.15,893.0,0.0001739,0.000165619047619
0.175,832.4,0.0002029,0.000193238095238
0.2,776.3,0.000234,0.0002228571428571
0.225,725.9,0.0002673,0.0002545714285714
0.25,681.3,0.0003029,0.0002884761904761
0.275,642.0,0.0003407,0.0003244761904761
0.3,607.3,0.0003807,0.0003625714285714
0.35,547.1,0.0004676,0.0004453333333333
0.4,498.3,0.0005635,0.0005366666666666
0.45,459.2,0.0006681,0.0006362857142857
0.5,427.8,0.0007811,0.0007439047619047
0.55,402.0,0.0009017,0.0008587619047619
0.6,379.6,0.00103,0.0009809523809523
0.65,360.0,0.001165,0.0011095238095238
0.7,342.5,0.001308,0.0012457142857142
0.75,327.0,0.001457,0.001387619047619
0.8,313.0,0.001613,0.0015361904761904
0.85,300.3,0.001776,0.0016914285714285
0.9,288.7,0.001946,0.0018533333333333
0.95,278.1,0.002123,0.0020219047619047
1.0,268.3,0.002306,0.0021961904761904
1.25,229.3,0.003318,0.00316
1.5,201.2,0.004485,0.0042714285714285
1.75,179.8,0.005802,0.0055257142857142
2.0,162.9,0.007265,0.0069190476190476
2.25,149.3,0.008869,0.0084466666666666
2.5,137.9,0.01061,0.0101047619047619
2.75,128.3,0.01249,0.011895238095238
3.0,120.1,0.01451,0.0138190476190476
3.5,106.7,0.01893,0.0180285714285714
4.0,96.26,0.02387,0.0227333333333333
4.5,87.82,0.02932,0.0279238095238095
5.0,80.86,0.03526,0.0335809523809523
5.5,75.01,0.04168,0.039695238095238
6.0,70.02,0.04858,0.0462666666666666
6.5,65.71,0.05596,0.0532952380952381
7.0,61.94,0.0638,0.0607619047619047
7.5,58.62,0.0721,0.0686666666666666
8.0,55.67,0.08086,0.0770095238095238
8.5,53.03,0.09006,0.0857714285714285
9.0,50.65,0.09971,0.0949619047619047
9.5,48.49,0.1098,0.1045714285714285
10.0,46.52,0.1203,0.1145714285714285
12.5,38.83,0.1794,0.1708571428571428
15.0,33.49,0.249,0.2371428571428571
17.5,29.54,0.3286,0.3129523809523809
20.0,26.49,0.4182,0.3982857142857143
25.0,22.09,0.6259,0.5960952380952381
27.5,20.44,0.7437,0.7082857142857143
30.0,19.04,0.8705,0.829047619047619
35.0,16.81,1.151,1.0961904761904762
40.0,15.09,1.465,1.3952380952380952
45.0,13.73,1.813,1.7266666666666666
50.0,12.62,2.193,2.0885714285714285
55.0,11.7,2.605,2.480952380952381
60.0,10.93,3.047,2.901904761904762
65.0,10.26,3.52,3.3523809523809525
70.0,9.687,4.022,3.8304761904761904
75.0,9.183,4.552,4.335238095238095
80.0,8.739,5.11,4.866666666666667
85.0,8.344,5.696,5.424761904761905
90.0,7.99,6.309,6.008571428571429
95.0,7.671,6.947,6.616190476190476
100.0,7.382,7.612,7.24952380952381
125.0,6.269,11.3,10.761904761904765
150.0,5.511,15.57,14.828571428571427
175.0,4.962,20.36,19.39047619047619
200.0,4.545,25.63,24.409523809523808
225.0,4.219,31.35,29.857142857142858
250.0,3.956,37.47,35.68571428571428
275.0,3.74,43.98,41.88571428571428
300.0,3.56,50.83,48.409523809523805
350.0,3.277,65.5,62.38095238095238
400.0,3.066,81.29,77.41904761904762
450.0,2.902,98.07,93.4
500.0,2.773,115.7,110.1904761904762
550.0,2.669,134.1,127.71428571428572
600.0,2.583,153.2,145.9047619047619
650.0,2.511,172.8,164.57142857142858
700.0,2.451,193.0,183.8095238095238
750.0,2.399,213.6,203.42857142857144
800.0,2.353,234.6,223.42857142857144
850.0,2.314,256.1,243.90476190476195
900.0,2.28,277.8,264.57142857142856
950.0,2.25,299.9,285.6190476190476
1000.0,2.224,322.3,306.95238095238096
1500.0,2.076,556.4,529.9047619047618
2000.0,2.024,800.8,762.6666666666666
2500.0,2.006,1049.0,999.047619047619
3000.0,2.003,1299.0,1237.142857142857
4000.0,2.015,1797.0,1711.428571428571
5000.0,2.034,2291.0,2181.904761904762
6000.0,2.056,2780.0,2647.619047619048
7000.0,2.077,3264.0,3108.5714285714284
8000.0,2.096,3743.0,3564.7619047619046
9000.0,2.115,4218.0,4017.142857142857
10000.0,2.132,4689.0,4465.714285714285
